parent_sku,sku,stock_status,regular_price,tax_class,images,meta:attribute_גודל
43906,7297519256223,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-אפור-כהה_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa
43910,7297519256230,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-שחור_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa
43902,7297519256216,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-אבן_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa
43898,729751956209,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-קפה_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa
43894,7297519256198,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-מרווה_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa
43870,729751925687,instock,100,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-בג-כיסוי-ספה-4-מושבים_result-600x600.webp,11570-%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%95%d7%a8%d7%a1%d7%90
43870,7297519256124,instock,140,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-בג-כיסוי-ספה-4-מושבים_result-600x600.webp,220170-3-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43870,7297519256162,instock,181,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-בג-כיסוי-ספה-4-מושבים_result-600x600.webp,240310-4-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43862,7297519256070,outofstock,100,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-אבן-כיסוי-ספה-4-מושבים_result-600x600.webp,11570-%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%95%d7%a8%d7%a1%d7%90
43862,7297519256117,instock,140,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-אבן-כיסוי-ספה-4-מושבים_result-600x600.webp,220170-3-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43862,7297519256156,instock,181,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-אבן-כיסוי-ספה-4-מושבים_result-600x600.webp,240310-4-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43879,7297519256094,instock,100,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-מרווה-כיסוי-ספה-4-מושבים_result-600x600.webp,11570-%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%95%d7%a8%d7%a1%d7%90
43879,7297519256124-1,instock,140,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-מרווה-כיסוי-ספה-4-מושבים_result-600x600.webp,220170-3-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43879,7297519256179,instock,181,parent,https://ashram.style/wp-content/uploads/2024/11/אנדרו-מרווה-כיסוי-ספה-4-מושבים_result-600x600.webp,240310-4-%d7%9e%d7%95%d7%a9%d7%91%d7%99%d7%9d
43887,7297519256186,instock,60,parent,https://ashram.style/wp-content/uploads/2024/11/רודוס-כיסוי-כסא-שמנת_result-600x600.webp,%d7%9b%d7%99%d7%a1%d7%95%d7%99-%d7%9b%d7%a1%d7%90-2-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa